feature,mean_abs_shap
cf_rank,0.23635365683182863
b_is_open,0.1130265896833082
same_city,0.09566309527839623
b_global_review_count,0.0884300364044808
b_reviews_per_month,0.07652520927750886
b_age_days,0.06849961554931236
b_n_reviews,0.059538400840984225
b_checkin_per_month,0.036258841724707905
b_avg_stars,0.03502842392247604
als_score,0.03234720507199005
b_global_stars,0.029179332630961438
u_n_distinct_biz,0.012673880694374213
b_useful_per_rev,0.012053099301633808
b_pct_positive,0.011993810781024924
u_pct_positive,0.011535578404879484
u_avg_biz_pop,0.010820417737116745
b_checkin_count,0.010562003230535778
u_account_age_days,0.010444947497833952
u_fans,0.009157362463285572
b_std_stars,0.008948841357653992
u_n_reviews,0.008391323545240458
u_total_compliments,0.008316028264192725
price_gap,0.008256041983896867
b_groups,0.007828055549177391
b_pop_percentile,0.007326751913963853
b_tip_count,0.006887220626514513
u_reviews_per_month,0.006753780632088988
b_price_range,0.006320601684795359
b_avg_review_len,0.006204157390456763
u_avg_review_len,0.006004901256597316
star_gap,0.005530318108066174
b_delivery,0.00541017665246344
u_std_stars,0.00477125915953353
u_avg_stars,0.004475499818421681
u_active_days,0.004087549774804405
b_n_categories,0.003495774974671171
b_reservations,0.003240024357876201
u_is_elite,0.0028023859603841825
u_avg_price,0.0027368712625494614
b_takeout,0.0012841457268517402
same_top_cat,0.0006894283624292802
b_cards,0.00031213679972564884
